Supermarket,Category,Product Title,Product Price,Base Price,Per unit,Product URL
Woolworths,Meat and Seafood,Ingham's Oven Roasted Turkey Breast Shaved From The Deli Per Kg,29.0,29.0,1KG,https://www.woolworths.com.au/shop/productdetails/27316/ingham-s-oven-roasted-turkey-breast-shaved-from-the-deli
Woolworths,Meat and Seafood,Woolworths Health Smart Extra Lean Diced Beef 500g,11.0,22.0,1KG,https://www.woolworths.com.au/shop/productdetails/675482/woolworths-health-smart-extra-lean-diced-beef
Woolworths,Meat and Seafood,Woolworths RSPCA Approved Chicken Thigh Cutlets per kg,7.5,7.5,1KG,https://www.woolworths.com.au/shop/productdetails/332098/woolworths-rspca-approved-chicken-thigh-cutlets
Woolworths,Meat and Seafood,Woolworths Honey Soy Wings with RSPCA Approved Chicken per kg,9.0,9.0,1KG,https://www.woolworths.com.au/shop/productdetails/158634/woolworths-honey-soy-wings-with-rspca-approved-chicken
Woolworths,Meat and Seafood,Woolworths Middle Bacon 1kg,11.7,11.7,1KG,https://www.woolworths.com.au/shop/productdetails/48358/woolworths-middle-bacon-middle-rashers
Woolworths,Meat and Seafood,Woolworths Beef Chuck Steak Medium 380g - 800g,14.0,17.5,1KG,https://www.woolworths.com.au/shop/productdetails/675632/woolworths-beef-chuck-steak-medium
Woolworths,Meat and Seafood,Woolworths Prawns Uncooked Tiger Large Thawed Per Kg,17.5,17.5,1KG,https://www.woolworths.com.au/shop/productdetails/786404/woolworths-prawns-uncooked-tiger-large-thawed
Woolworths,Meat and Seafood,Macro Chicken Breast Fillets Free Range 700g - 1.4kg,21.0,15.0,1KG,https://www.woolworths.com.au/shop/productdetails/700228/macro-chicken-breast-fillets-free-range
Woolworths,Meat and Seafood,Ingham's Turkey Mince 500g,7.0,14.0,1KG,https://www.woolworths.com.au/shop/productdetails/310742/ingham-s-turkey-mince
Woolworths,Meat and Seafood,Woolworths RSPCA Approved Chicken Drumsticks per kg,4.8,4.8,1KG,https://www.woolworths.com.au/shop/productdetails/23208/woolworths-rspca-approved-chicken-drumsticks
Woolworths,Meat and Seafood,Macro Grass Fed Australian Beef Mince 500g,10.0,20.0,1KG,https://www.woolworths.com.au/shop/productdetails/175570/macro-grass-fed-australian-beef-mince
Woolworths,Meat and Seafood,Bertocchi Shortcut Bacon Rashers From The Deli Per Kg,15.0,15.0,1KG,https://www.woolworths.com.au/shop/productdetails/346624/bertocchi-shortcut-bacon-rashers-from-the-deli
Woolworths,Meat and Seafood,Woolworths Beef & Lamb Meatballs 400g,8.0,20.0,1KG,https://www.woolworths.com.au/shop/productdetails/764264/woolworths-beef-lamb-meatballs
Woolworths,Meat and Seafood,Woolworths Pork Mince 800g,8.0,10.0,1KG,https://www.woolworths.com.au/shop/productdetails/169853/woolworths-pork-mince
Woolworths,Meat and Seafood,Woolworths RSPCA Approved Chicken Kebab Honey Soy each,1.0,1.0,1EA,https://www.woolworths.com.au/shop/productdetails/742211/woolworths-rspca-approved-chicken-kebab-honey-soy
Woolworths,Meat and Seafood,Woolworths Beef Sizzle Steak 400g,13.0,32.5,1KG,https://www.woolworths.com.au/shop/productdetails/686853/woolworths-beef-sizzle-steak
Woolworths,Meat and Seafood,Woolworths Salmon Tasmanian Atlantic Fillets Skin On Per Kg,44.0,44.0,1KG,https://www.woolworths.com.au/shop/productdetails/95171/woolworths-salmon-tasmanian-atlantic-fillets-skin-on
Woolworths,Meat and Seafood,Woolworths Beef Rump Steak Medallion Small 300g,10.5,35.0,1KG,https://www.woolworths.com.au/shop/productdetails/675478/woolworths-beef-rump-steak-medallion-small
Woolworths,Meat and Seafood,Ingham's Oven Roasted Turkey Breast Sliced From The Deli Per Kg,29.0,29.0,1KG,https://www.woolworths.com.au/shop/productdetails/59755/ingham-s-oven-roasted-turkey-breast-sliced-from-the-deli
Woolworths,Meat and Seafood,Woolworths Beef Rump Steak 250g,9.0,36.0,1KG,https://www.woolworths.com.au/shop/productdetails/236846/woolworths-beef-rump-steak
Woolworths,Meat and Seafood,D'Orsogna Diced Bacon Per Kg,20.0,20.0,1KG,https://www.woolworths.com.au/shop/productdetails/71860/d-orsogna-diced-bacon
Woolworths,Meat and Seafood,Chicken Sandwich Schnitzel each,2.8,2.8,1EA,https://www.woolworths.com.au/shop/productdetails/666237/chicken-sandwich-chicken-sandwich-schnitzel
Woolworths,Meat and Seafood,Woolworths Lamb Mince 500g,8.5,17.0,1KG,https://www.woolworths.com.au/shop/productdetails/582607/woolworths-lamb-mince
