Supermarket,Category,Product Title,Product Price,$ per kg/L,$ per piece,Base Price,Per unit,Product URL,Product Sale
Woolworths,Fruits and Veg,Woolworths Mixed Vegetables Soup Starter With Celery 1kg,5.50,5.50,,5.5,1KG,https://www.woolworths.com.au/shop/productdetails/120230/woolworths-mixed-vegetables-soup-starter-with-celery,
Woolworths,Fruits and Veg,Woolworths Classic Coleslaw Kit 500g,5.00,10.00,,10.0,1KG,https://www.woolworths.com.au/shop/productdetails/54899/woolworths-classic-coleslaw-kit,
Woolworths,Fruits and Veg,Aussie Sprouts Alfalfa 125g,2.50,20.00,,20.0,1KG,https://www.woolworths.com.au/shop/productdetails/147947/aussie-sprouts-alfalfa,
Woolworths,Fruits and Veg,Avofresh Classic Avocado Guacamole 160g,5.70,35.60,,3.56,100G,https://www.woolworths.com.au/shop/productdetails/243094/avofresh-classic-avocado-guacamole,
Woolworths,Fruits and Veg,Gourmet Garden Coriander Lightly Dried Sachet 8g,4.00,500.00,,5.0,10G,https://www.woolworths.com.au/shop/productdetails/781395/gourmet-garden-coriander-lightly-dried-sachet,
Woolworths,Fruits and Veg,Golden Palm Medjool Dates 225g,9.50,42.22,,42.22,1KG,https://www.woolworths.com.au/shop/productdetails/209198/golden-palm-medjool-dates,
Woolworths,Fruits and Veg,Woolworths Washed Potato Bag 4kg,12.50,3.13,,3.13,1KG,https://www.woolworths.com.au/shop/productdetails/192783/woolworths-washed-potato-bag,
Woolworths,Fruits and Veg,Ambrosia Apple each,1.50,,1.50,1.5,1EA,https://www.woolworths.com.au/shop/productdetails/90622/ambrosia-apple,
Woolworths,Fruits and Veg,Macro Organic Green Zucchini Punnet 500g,7.50,15.00,,15.0,1KG,https://www.woolworths.com.au/shop/productdetails/117383/macro-organic-green-zucchini-punnet,
Woolworths,Fruits and Veg,Woolworths Beetroot & Fetta Salad Kit 270g,6.50,24.07,,24.07,1KG,https://www.woolworths.com.au/shop/productdetails/703808/woolworths-beetroot-fetta-salad-kit,
Woolworths,Fruits and Veg,Macro Organic Ginger Punnet 150g,8.80,58.67,,58.67,1KG,https://www.woolworths.com.au/shop/productdetails/157404/macro-organic-ginger-punnet,
Woolworths,Fruits and Veg,Perfection Fresh Kumato Tomato 300g,4.90,16.33,,16.33,1KG,https://www.woolworths.com.au/shop/productdetails/663649/perfection-fresh-kumato-tomato-punnet,
Woolworths,Fruits and Veg,Woolworths Japanese Style Slaw Kit 400g,5.50,13.75,,13.75,1KG,https://www.woolworths.com.au/shop/productdetails/901516/woolworths-japanese-style-slaw-kit,
Woolworths,Fruits and Veg,Medjool Dates Punnet 450g,12.50,27.78,,27.78,1KG,https://www.woolworths.com.au/shop/productdetails/774695/golden-palm-medjool-dates-punnet,
Woolworths,Fruits and Veg,Woolworths Washed & Ready To Cook Broccoli & Cauliflower Florets 150g,1.60,10.67,,10.67,1KG,https://www.woolworths.com.au/shop/productdetails/159054/woolworths-washed-ready-to-cook-broccoli-cauliflower-florets,*ON SALE* Save $0.40
Woolworths,Fruits and Veg,Swanport Harvest Bagged Lettuce each,3.50,,3.50,3.5,1EA,https://www.woolworths.com.au/shop/productdetails/256240/swanport-harvest-bagged-lettuce,
Woolworths,Fruits and Veg,Avofresh Avocado Hint Of Lemon Tube 160g,5.70,35.60,,3.56,100G,https://www.woolworths.com.au/shop/productdetails/364554/avofresh-avocado-hint-of-lemon-tube-hint-of-lemon,
Woolworths,Fruits and Veg,Macro Organic Sweet Potato each,6.30,,6.30,6.3,1EA,https://www.woolworths.com.au/shop/productdetails/413886/macro-organic-sweet-potato,
Woolworths,Fruits and Veg,Woolworths Kaffir Lime Leaf Fresh Herb Punnet 10g,3.20,320.00,,3.2,10G,https://www.woolworths.com.au/shop/productdetails/707373/woolworths-kaffir-lime-leaf-fresh-herb-punnet,
Woolworths,Fruits and Veg,Woolworths Sage Fresh Herb Punnet 10g,3.20,320.00,,3.2,10G,https://www.woolworths.com.au/shop/productdetails/707369/woolworths-sage-fresh-herb-punnet,
Woolworths,Fruits and Veg,Persimmon Fresh each,2.00,,2.00,2.0,1EA,https://www.woolworths.com.au/shop/productdetails/145919/persimmon-fresh,
Woolworths,Fruits and Veg,Cabbage Chinese Wombok Whole each,6.90,,6.90,6.9,1EA,https://www.woolworths.com.au/shop/productdetails/170127/cabbage-chinese-wombok-whole,
Woolworths,Fruits and Veg,Cabbage Green Whole each,8.80,,8.80,8.8,1EA,https://www.woolworths.com.au/shop/productdetails/134923/cabbage-green-whole,
Woolworths,Fruits and Veg,Macro Organic Broccolini each,5.80,,5.80,5.8,1EA,https://www.woolworths.com.au/shop/productdetails/310333/macro-organic-broccolini-organic,
Woolworths,Fruits and Veg,Woolworths Portobello Flat Mushrooms Punnet 375g,7.50,20.00,,20.0,1KG,https://www.woolworths.com.au/shop/productdetails/215609/woolworths-portobello-flat-mushrooms-punnet,*ON SALE* Save $1.00
